title,views,url,id,dateCreated
(Legacy) How do I bill for stored materials in Procore?,11291,https://support.procore.com/faq/how-do-i-bill-for-stored-materials-in-procore,5842,"Thu, 25 Feb 2016 17:57:06 GMT"
Can I change a person's email address in the Directory?,11053,https://support.procore.com/faq/can-i-change-a-persons-email-address-in-the-directory,2835,"Tue, 19 May 2015 18:46:22 GMT"
What is the construction bidding process?,10425,https://support.procore.com/faq/what-is-the-construction-bidding-process,1858,"Thu, 05 Mar 2015 00:42:19 GMT"
What are Procore's default cost types?,10342,https://support.procore.com/faq/what-are-procores-default-cost-types,25204,"Fri, 13 Oct 2017 16:12:16 GMT"
What are the default permission levels in Procore?,10072,https://support.procore.com/faq/what-are-the-default-permission-levels-in-procore,9075,"Thu, 07 Jul 2016 16:56:06 GMT"
What is a submittal package?,9952,https://support.procore.com/faq/what-is-a-submittal-package,11030,"Mon, 10 Oct 2016 23:13:34 GMT"
What are Procore's Product Categories?,9947,https://support.procore.com/faq/what-are-procores-product-categories,56193,"Tue, 13 Aug 2019 16:32:55 GMT"
How do I sign up for Procore?,9793,https://support.procore.com/faq/how-do-i-sign-up-for-procore,2647,"Mon, 11 May 2015 21:32:16 GMT"
How do I prepare my data for import into Procore?,9782,https://support.procore.com/faq/how-do-i-prepare-my-data-for-import-into-procore,6300,"Thu, 10 Mar 2016 17:20:04 GMT"
How do I create a desktop shortcut to Procore?,9763,https://support.procore.com/faq/how-do-i-create-a-desktop-shortcut-to-procore,7627,"Tue, 03 May 2016 07:30:34 GMT"
What is a fillable PDF?,9546,https://support.procore.com/faq/what-is-a-fillable-pdf,24089,"Thu, 14 Sep 2017 16:16:40 GMT"
What are Drawing Areas?,9540,https://support.procore.com/faq/what-are-drawing-areas,4449,"Fri, 09 Oct 2015 20:34:23 GMT"
Why am I unable to download and open a .ZIP file from Procore?,9511,https://support.procore.com/faq/why-am-i-unable-to-download-and-open-a-zip-file-from-procore,870,"Fri, 30 Jan 2015 19:15:43 GMT"
How do I configure a prefix and starting number for a project's RFIs?,9276,https://support.procore.com/faq/how-do-i-configure-a-prefix-and-starting-number-for-a-projects-rfis,16435,"Wed, 12 Apr 2017 02:25:50 GMT"
Why are automatic drawing sheet links missing?,8805,https://support.procore.com/faq/why-are-automatic-drawing-sheet-links-missing,1035,"Wed, 04 Feb 2015 20:12:25 GMT"
How do I set the accounting method for a contract or funding?,8586,https://support.procore.com/faq/how-do-i-set-the-accounting-method-for-a-contract-or-funding,897,"Fri, 30 Jan 2015 23:29:18 GMT"
When does the Submittals tool send email notifications to Procore users?,8568,https://support.procore.com/faq/when-does-the-submittals-tool-send-email-notifications-to-procore-users,35845,"Wed, 11 Jul 2018 21:01:58 GMT"
What are custom fields and which Procore tools support them?,8493,https://support.procore.com/faq/what-are-custom-fields-and-which-procore-tools-support-them,63611,"Mon, 25 Nov 2019 20:26:17 GMT"
What is the maximum character length for a 'Company Name' in the Directory tool?,8480,https://support.procore.com/faq/what-is-the-maximum-character-length-for-a-company-name-in-the-directory-tool,29525,"Thu, 15 Feb 2018 20:50:06 GMT"
What is the 'Enable Always Editable Schedule of Values' setting?,8349,https://support.procore.com/faq/what-is-the-enable-always-editable-schedule-of-values-setting,139472,"Mon, 23 Aug 2021 22:10:33 GMT"
What is a 'contact' in Procore and which project tools support the concept?,8208,https://support.procore.com/faq/what-is-a-contact-in-procore-and-which-project-tools-support-the-concept,53078,"Mon, 24 Jun 2019 23:07:01 GMT"
How do I set up a project in Procore?,8199,https://support.procore.com/faq/how-do-i-set-up-a-project-in-procore,8112,"Tue, 07 Jun 2016 20:49:30 GMT"
What is a 'Draft' RFI?,8106,https://support.procore.com/faq/what-is-a-draft-rfi,1728,"Mon, 02 Mar 2015 23:36:37 GMT"
What is a daily log?,7998,https://support.procore.com/faq/what-is-a-daily-log,1855,"Thu, 05 Mar 2015 00:23:08 GMT"
What are the differences between Procore's time modules?,7955,https://support.procore.com/faq/what-are-the-differences-between-procores-time-modules,23726,"Wed, 30 Aug 2017 20:37:24 GMT"
Can I use Procore's mobile application in offline mode?,7910,https://support.procore.com/faq/can-i-use-procores-mobile-application-offline,4164,"Fri, 11 Sep 2015 23:54:00 GMT"
When does the RFIs tool send email notifications?,7798,https://support.procore.com/faq/when-does-the-rfis-tool-send-email-notifications,29112,"Thu, 08 Feb 2018 17:46:06 GMT"
