"title","views","url","id","dateCreated","lastThirty"
"Add Financial Markup to Commitment Change Orders","4900","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/add-financial-markup-to-ccos","7197","Wed, 06 Apr 2016 16:23:01 GMT",142
"Create a Commitment Change Order from a Prime Contract Change Order","4895","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/create-a-commitment-change-order-from-a-prime-contract-change-order","3685","Tue, 21 Jul 2015 23:36:45 GMT",98
"Add a Procore Project to Sage 300 CRE®","4893","https://support.procore.com/integrations/sage-300-cre/tutorials/add-a-procore-project-to-sage-300-cre","1291","Tue, 17 Feb 2015 17:37:33 GMT",93
"Add a Related Item to a File in the Documents Tool","4885","https://support.procore.com/products/online/user-guide/project-level/documents/tutorials/add-a-related-items-to-a-file-in-the-documents-tool","1177","Fri, 06 Feb 2015 22:53:44 GMT",91
"Add Related Items to a Submittal","4881","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/add-a-related-item-to-a-submittal","2164","Thu, 19 Mar 2015 23:27:16 GMT",104
"Create a Company Level Action Plan Template","4876","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/create-a-company-level-action-plan-template","85611","Thu, 11 Jun 2020 00:30:03 GMT",162
"Allow  Users To Delete Published Markups","4843","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/allow-users-to-delete-published-markups","3605","Fri, 10 Jul 2015 21:57:40 GMT",120
"Configure Company Webhooks","4833","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/configure-company-webhooks","17534","Wed, 03 May 2017 19:48:06 GMT",112
"Edit Bidders on the Bid Invitation","4825","https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/remove-a-bidder-from-a-bid-invitation","9695","Fri, 12 Aug 2016 21:03:12 GMT",59
"Inactivate a Company in the Company Directory","4815","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/inactivate-a-company-in-the-company-directory","2537","Mon, 04 May 2015 21:26:14 GMT",109
"Import a Sage 300 CRE® Prime Contract into Procore","4806","https://support.procore.com/integrations/sage-300-cre/tutorials/import-a-sage-300-cre-prime-contract-into-procore","32895","Fri, 27 Apr 2018 22:18:44 GMT",111
"Create a Coordination Issue","4793","https://support.procore.com/products/online/user-guide/project-level/coordination-issues/tutorials/create-a-coordination-issue","37007","Mon, 06 Aug 2018 22:12:15 GMT",95
"Set the Dashboard View Permissions","4790","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/set-the-dashboard-view-permissions","25352","Wed, 18 Oct 2017 21:52:39 GMT",227
"Change Your Account Language in 'My Profile Settings'","4770","https://support.procore.com/products/online/user-guide/project-level/home/tutorials/change-your-account-language-in-my-profile-settings","91214","Mon, 27 Jul 2020 02:38:00 GMT",63
